id,type,dc\.identifier,inScheme,member,notation,prefLabel,broader,broaderTransitive,semanticRelation,topConceptOf,narrower,narrowerTransitive,definition,hasTopConcept,note
https://data.bodemenondergrond.vlaanderen.be/id/collection/bemonsteringsinstrument/bemonsteringsinstrumenten,http://www.w3.org/2004/02/skos/core#Collection,be.vlaanderen.bodemenondergrond.data.id.collection.bemonsteringsinstrument.bemonsteringsinstrumenten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangedrukt|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangeslagen|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/aqualock|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/aqualockpiston|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/avegaarbooras|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/balgpomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/boor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/bovcentrifugaalpomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/diamantboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dikwandig|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dikwandigepiston|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dikwandiggeslagen|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dompelpomp12v|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dompelpompond|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dubbelwandigekernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dubkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dubkleppomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dunwandig|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dunwandigepiston|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dunwandiggedrukt|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dunwandiggeslagen|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/edelmanboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/enkelwandigkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/enkkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/geoprobe|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/graafmachine|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/grijpboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/hamerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/handboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorhsas|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kopeckyring|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kopeckysteekset100cm3|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kraan|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lansboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lepelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthamer|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthevel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/perspomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/piston|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/platavegaarboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pulsboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pulsslang|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pvcaangescherpt30mm|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramguts|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutslin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutszlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramkernboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ring|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/riversideboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/rollenbeitel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/rvsstrooiselkader25cm|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/schep|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/scheppot|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/slagboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/slangenpomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spade|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spiraalboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spoelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekguts20mm|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekguts25mm|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekguts30mm|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekguts|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekhuls192cm3|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekhuls|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/strooiselkader|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/trilboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/tripkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/trippelwandigekernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/vacuumpomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/veenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/vibrocore|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/waterfles|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/watermonsternemer|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/watertrap|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigpomp,bemonsteringsinstrumenten,Collectie van bemonsteringsinstrumenten.,null,null,null,null,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangedrukt,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermangedrukt,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,ackermangedrukt,Ackerman steekbus - gedrukt,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangeslagen,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermangeslagen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,ackermangeslagen,Ackerman steekbus - geslagen,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermansteekbus,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermansteekbus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,ackermansteekbus,Ackerman steekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangedrukt|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangeslagen|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steekbus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangedrukt|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangeslagen,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangedrukt|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ackermangeslagen,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/aqualock,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.aqualock,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,aqualock,Aqualock,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/aqualockpiston,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.aqualockpiston,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,aqualockpiston,Aqualock,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/piston,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/piston,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/buis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/piston,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/avegaarbooras,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.avegaarbooras,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,avegaarbooras,Avegaarboor,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/boor,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/boor,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/boor,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/balgpomp,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.balgpomp,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,balgpomp,Balgpomp (Gasdruksysteem),https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/perspomp,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/perspomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pomp,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/perspomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pomp,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/boor,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.boor,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,boor,Boor,null,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/avegaarbooras|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/diamantboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dubkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/edelmanboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/enkkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/geoprobe|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/grijpboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/hamerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/handboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorhsas|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lansboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lepelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthamer|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthevel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/platavegaarboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pulsboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramguts|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutslin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutszlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramkernboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/riversideboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/rollenbeitel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/slagboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spiraalboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spoelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/trilboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/tripkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/veenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/vibrocore|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigerboor,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/avegaarbooras|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/diamantboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/edelmanboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/geoprobe|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/grijpboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/hamerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/handboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorhsas|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lansboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lepelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthamer|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthevel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/platavegaarboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pulsboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramguts|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/riversideboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/rollenbeitel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/slagboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spiraalboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spoelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/trilboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/veenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/vibrocore|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigerboor,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/avegaarbooras|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/diamantboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/dubkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/edelmanboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/enkkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/geoprobe|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/grijpboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/hamerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/handboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorhsas|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/holavegaarboorlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/kerboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lansboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/lepelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthamer|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/luchthevel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/platavegaarboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pulsboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramguts|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutslin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramgutszlin|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/ramkernboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/riversideboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/rollenbeitel|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/slagboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spiraalboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/spoelboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/steenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/trilboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/tripkernbuis|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/veenboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/vibrocore|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigboor|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigerboor,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/bovcentrifugaalpomp,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.bovcentrifugaalpomp,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,bovcentrifugaalpomp,Bovengrondse centrifugaalpomp,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigpomp,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigpomp,https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/pomp|https://data.bodemenondergrond.vlaanderen.be/id/concept/bemonsteringsinstrument/zuigpomp,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/bemonsteringsinstrument,null,null,null,null,null
