type,uri,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
skos:ConceptScheme,cs:bemonsteringsinstrument,bemonsteringsinstrument,,,Codelijst bemonsteringsinstrument.,,,,,,,Beschrijving welke procedure werd gevolgd bij de bemonstering.,,,,,,,,,,,,,
skos:Collection,colt:bemonsteringsinstrumenten,bemonsteringsinstrumenten,,,Collectie van bemonsteringsinstrumenten.,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,
skos:Concept,ct:steekguts,steekguts,colt:bemonsteringsinstrumenten,,Steekguts,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts30mm,steekguts30mm,colt:bemonsteringsinstrumenten,,Steekguts 30mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts25mm,steekguts25mm,colt:bemonsteringsinstrumenten,,Steekguts 25mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekguts20mm,steekguts20mm,colt:bemonsteringsinstrumenten,,Steekguts 20mm,,ct:steekguts,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ring,ring,colt:bemonsteringsinstrumenten,,Ring,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:kopeckysteekset100cm3,kopeckysteekset100cm3,colt:bemonsteringsinstrumenten,,Kopecky steekset 100cm3,,ct:ring,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekhuls,steekhuls,colt:bemonsteringsinstrumenten,,Steekhuls,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekhuls192cm3,steekhuls192cm3,colt:bemonsteringsinstrumenten,,Steekhuls 192cm3,,ct:steekhuls,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:steekbus,steekbus,colt:bemonsteringsinstrumenten,,Steekbus,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandig,dunwandig,colt:bemonsteringsinstrumenten,,Dunwandige steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandiggedrukt,dunwandiggedrukt,colt:bemonsteringsinstrumenten,,Dunwandige steekbus - gedrukt (OS-T/W-PU),,ct:dunwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandiggeslagen,dunwandiggeslagen,colt:bemonsteringsinstrumenten,,Dunwandige steekbus - geslagen (OS-T/W-PE),,ct:dunwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dikwandig,dikwandig,colt:bemonsteringsinstrumenten,,Dikwandige steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dikwandiggeslagen,dikwandiggeslagen,colt:bemonsteringsinstrumenten,,Dikwandig steekbus - geslagen (OS-T/W-PE),,ct:dikwandig,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermansteekbus,ackermansteekbus,colt:bemonsteringsinstrumenten,,Ackerman steekbus,,ct:steekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermangedrukt,ackermangedrukt,colt:bemonsteringsinstrumenten,,Ackerman steekbus - gedrukt,,ct:ackermansteekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:ackermangeslagen,ackermangeslagen,colt:bemonsteringsinstrumenten,,Ackerman steekbus - geslagen,,ct:ackermansteekbus,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:buis,buis,colt:bemonsteringsinstrumenten,,Buis,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:enkelwandigkernbuis,enkelwandigkernbuis,colt:bemonsteringsinstrumenten,,Enkelwandige kernbuis (CS-ST),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dubbelwandigekernbuis,dubbelwandigekernbuis,colt:bemonsteringsinstrumenten,,Dubbelwandige kernbuis (CS-DT),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:trippelwandigekernbuis,trippelwandigekernbuis,colt:bemonsteringsinstrumenten,,Trippelwandige kernbuis (CS-TT),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:aqualock,aqualock,colt:bemonsteringsinstrumenten,,Aqualock,,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:piston,piston,colt:bemonsteringsinstrumenten,,Piston (PS),,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dunwandigepiston,dunwandigepiston,colt:bemonsteringsinstrumenten,,Dunwandige piston,,ct:piston,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
