uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:bemonsteringsinstrument,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bemonsteringsinstrument,,bemonsteringsinstrument,Codelijst bemonsteringsinstrument.,,,,,,,Beschrijving welke procedure werd gevolgd bij de bemonstering.,,,,,,,,,,,,,
collectie:bemonsteringsinstrumenten,be.vlaanderen.bodemenondergrond.data.id.collection.bemonsteringsinstrument.bemonsteringsinstrumenten,,bemonsteringsinstrumenten,Collectie van bemonsteringsinstrumenten.,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,
concept:steekguts,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekguts,collectie:bemonsteringsinstrumenten,steekguts,Steekguts,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekguts30mm,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekguts30mm,collectie:bemonsteringsinstrumenten,steekguts30mm,Steekguts 30mm,,concept:steekguts,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekguts25mm,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekguts25mm,collectie:bemonsteringsinstrumenten,steekguts25mm,Steekguts 25mm,,concept:steekguts,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekguts20mm,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekguts20mm,collectie:bemonsteringsinstrumenten,steekguts20mm,Steekguts 20mm,,concept:steekguts,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:ring,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ring,collectie:bemonsteringsinstrumenten,ring,Ring,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:kopeckysteekset100cm3,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.kopeckysteekset100cm3,collectie:bemonsteringsinstrumenten,kopeckysteekset100cm3,Kopecky steekset 100cm3,,concept:ring,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekhuls,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekhuls,collectie:bemonsteringsinstrumenten,steekhuls,Steekhuls,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekhuls192cm3,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekhuls192cm3,collectie:bemonsteringsinstrumenten,steekhuls192cm3,Steekhuls 192cm3,,concept:steekhuls,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:steekbus,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.steekbus,collectie:bemonsteringsinstrumenten,steekbus,Steekbus,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dunwandig,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dunwandig,collectie:bemonsteringsinstrumenten,dunwandig,Dunwandige steekbus,,concept:steekbus,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dunwandiggedrukt,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dunwandiggedrukt,collectie:bemonsteringsinstrumenten,dunwandiggedrukt,Dunwandige steekbus - gedrukt (OS-T/W-PU),,concept:dunwandig,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dunwandiggeslagen,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dunwandiggeslagen,collectie:bemonsteringsinstrumenten,dunwandiggeslagen,Dunwandige steekbus - geslagen (OS-T/W-PE),,concept:dunwandig,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dikwandig,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dikwandig,collectie:bemonsteringsinstrumenten,dikwandig,Dikwandige steekbus,,concept:steekbus,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dikwandiggeslagen,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dikwandiggeslagen,collectie:bemonsteringsinstrumenten,dikwandiggeslagen,Dikwandige steekbus - geslagen (OS-TK/W-PE),,concept:dikwandig,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:ackermansteekbus,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermansteekbus,collectie:bemonsteringsinstrumenten,ackermansteekbus,Ackerman steekbus,,concept:steekbus,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:ackermangedrukt,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermangedrukt,collectie:bemonsteringsinstrumenten,ackermangedrukt,Ackerman steekbus - gedrukt,,concept:ackermansteekbus,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:ackermangeslagen,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.ackermangeslagen,collectie:bemonsteringsinstrumenten,ackermangeslagen,Ackerman steekbus - geslagen,,concept:ackermansteekbus,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:buis,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.buis,collectie:bemonsteringsinstrumenten,buis,Buis,,,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:enkelwandigkernbuis,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.enkelwandigkernbuis,collectie:bemonsteringsinstrumenten,enkelwandigkernbuis,Enkelwandige kernbuis (CS-ST),,concept:buis,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:dubbelwandigekernbuis,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.dubbelwandigekernbuis,collectie:bemonsteringsinstrumenten,dubbelwandigekernbuis,Dubbelwandige kernbuis (CS-DT),,concept:buis,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
concept:trippelwandigekernbuis,be.vlaanderen.bodemenondergrond.data.id.concept.bemonsteringsinstrument.trippelwandigekernbuis,collectie:bemonsteringsinstrumenten,trippelwandigekernbuis,Trippelwandige kernbuis (CS-TT),,concept:buis,,,,,,,,,,,conceptscheme:bemonsteringsinstrument,,,,,,,conceptscheme:bemonsteringsinstrument
